iter	Passed	Remaining
462	775	898
463	776	896
464	777	893
465	778	891
466	779	889
467	780	887
468	781	885
469	783	883
470	784	880
471	785	878
472	787	877
473	789	876
474	790	873
475	792	872
476	793	870
477	794	867
478	795	865
479	797	863
480	798	861
481	800	860
482	801	858
483	802	856
484	804	854
485	805	851
486	806	849
487	807	847
488	808	844
489	809	842
490	810	840
491	812	838
492	814	837
493	815	835
494	817	833
495	818	831
496	819	829
497	820	827
498	822	825
499	823	823
500	824	821
501	826	819
502	827	818
503	829	815
504	830	813
505	831	811
506	832	809
507	833	807
508	834	805
509	835	802
510	836	800
511	837	798
512	839	796
513	840	794
514	842	793
515	843	791
516	845	789
517	846	787
518	847	785
519	848	783
520	850	781
521	851	779
522	852	777
523	853	775
524	855	774
525	857	772
526	858	770
527	861	769
528	862	767
529	863	765
530	864	763
531	865	761
532	866	759
533	867	757
534	869	755
535	870	753
536	871	751
537	872	749
538	873	747
539	874	745
540	876	743
541	877	741
542	878	739
543	879	737
544	880	735
545	881	733
546	882	731
547	884	729
548	885	727
549	886	725
550	887	723
551	888	721
552	889	718
553	890	716
554	891	714
555	892	712
556	893	710
557	894	708
558	896	706
559	897	705
560	898	703
561	899	701
562	901	699
563	902	697
564	903	695
565	904	693
566	905	691
567	906	689
568	907	687
569	908	685
570	909	683
571	910	681
572	911	679
573	912	677
574	913	675
575	914	673
576	915	671
577	916	669
578	917	667
579	918	665
580	919	663
581	920	661
582	921	659
583	922	657
584	924	655
585	925	653
586	926	651
587	927	649
588	928	647
589	929	646
590	931	644
591	932	642
592	934	641
593	935	639
594	936	637
595	938	635
596	939	634
597	940	632
598	941	630
599	942	628
600	944	626
601	945	624
602	946	623
603	948	621
604	950	620
605	951	618
606	952	616
607	953	615
608	954	613
609	955	611
610	956	609
611	958	607
612	959	605
613	961	604
614	962	602
615	964	601
616	965	599
617	966	597
618	967	595
619	968	593
620	969	591
621	970	589
622	971	587
623	973	586
624	974	584
625	975	582
626	977	581
627	978	579
628	979	577
629	980	575
630	981	574
631	982	572
632	983	570
633	984	568
634	985	566
635	986	564
636	987	563
637	989	561
638	990	559
639	991	557
640	992	556
641	993	554
642	994	552
643	995	550
644	996	548
645	997	546
646	998	545
647	999	543
648	1000	541
649	1001	539
650	1003	538
651	1005	536
652	1006	534
653	1007	532
654	1008	531
655	1009	529
656	1010	527
657	1011	525
658	1012	523
659	1013	522
660	1014	520
661	1015	518
662	1016	516
663	1017	515
664	1019	513
665	1020	511
666	1022	510
667	1023	508
668	1024	506
669	1025	505
670	1026	503
671	1027	501
672	1028	499
673	1029	498
674	1030	496
675	1032	494
676	1033	492
677	1035	491
678	1036	490
679	1037	488
680	1038	486
681	1040	485
682	1041	483
683	1042	481
684	1043	479
685	1045	478
686	1046	476
687	1048	475
688	1049	473
689	1051	472
690	1052	470
691	1053	468
692	1054	467
693	1055	465
694	1056	463
695	1058	462
696	1059	460
697	1059	458
698	1060	456
699	1061	455
700	1063	453
701	1065	452
702	1066	450
703	1067	448
704	1068	446
705	1069	445
706	1070	443
707	1071	441
708	1072	440
709	1073	438
710	1074	436
711	1075	435
712	1076	433
713	1077	431
714	1079	430
715	1080	428
716	1082	427
717	1083	425
718	1084	423
719	1085	422
720	1087	420
721	1088	419
722	1089	417
723	1090	415
724	1091	414
725	1093	412
726	1094	411
727	1096	409
728	1097	407
729	1098	406
730	1100	404
731	1101	403
732	1102	401
733	1103	399
734	1104	398
735	1105	396
736	1106	394
737	1108	393
738	1110	392
739	1111	390
740	1112	388
741	1113	387
742	1114	385
743	1116	384
744	1117	382
745	1118	380
746	1119	379
747	1120	377
748	1121	375
749	1123	374
750	1124	372
751	1126	371
752	1127	369
753	1128	368
754	1129	366
755	1130	365
756	1132	363
757	1133	361
758	1134	360
759	1136	358
760	1137	357
761	1138	355
762	1140	354
763	1141	352
764	1142	350
765	1143	349
766	1144	347
767	1145	346
768	1146	344
769	1148	342
770	1149	341
771	1150	339
772	1151	338
773	1153	336
774	1154	335
775	1155	333
776	1156	332
777	1158	330
778	1159	328
779	1160	327
780	1161	325
781	1162	324
782	1163	322
783	1165	321
784	1166	319
785	1168	318
786	1169	316
787	1170	314
788	1172	313
789	1173	311
790	1174	310
791	1175	308
792	1176	307
793	1178	305
794	1179	304
795	1180	302
796	1181	300
797	1182	299
798	1184	297
799	1185	296
800	1186	294
801	1187	293
802	1188	291
803	1189	290
804	1190	288
805	1191	286
806	1192	285
807	1193	283
808	1194	282
809	1196	280
810	1197	279
811	1198	277
812	1199	276
813	1201	274
814	1202	272
815	1203	271
816	1204	269
817	1205	268
818	1206	266
819	1207	265
820	1208	263
821	1210	262
822	1211	260
823	1212	259
824	1213	257
825	1214	255
826	1216	254
827	1217	252
828	1218	251
829	1219	249
830	1220	248
831	1221	246
832	1222	245
833	1223	243
834	1224	241
835	1226	240
836	1227	239
837	1228	237
838	1230	236
839	1231	234
840	1232	232
841	1233	231
842	1234	229
843	1235	228
844	1236	226
845	1237	225
846	1238	223
847	1240	222
848	1242	220
849	1243	219
850	1244	217
851	1245	216
852	1246	214
853	1247	213
854	1248	211
855	1250	210
856	1251	208
857	1252	207
858	1253	205
859	1254	204
860	1255	202
861	1257	201
862	1258	199
863	1259	198
864	1260	196
865	1261	195
866	1262	193
867	1263	192
868	1264	190
869	1265	189
870	1266	187
871	1267	186
872	1268	184
873	1269	183
874	1271	181
875	1272	180
876	1273	178
877	1274	177
878	1275	175
879	1276	174
880	1277	172
881	1279	171
882	1280	169
883	1281	168
884	1282	166
885	1283	165
886	1284	163
887	1285	162
888	1286	160
889	1287	159
890	1289	157
891	1290	156
892	1291	154
893	1292	153
894	1293	151
895	1294	150
896	1295	148
897	1296	147
898	1297	145
899	1298	144
900	1300	142
901	1302	141
902	1303	140
903	1304	138
904	1306	137
905	1307	135
906	1308	134
907	1309	132
908	1310	131
909	1311	129
910	1312	128
911	1313	126
912	1314	125
913	1316	123
914	1317	122
915	1318	120
916	1319	119
917	1320	117
918	1322	116
919	1323	115
920	1324	113
921	1325	112
922	1326	110
923	1327	109
924	1328	107
925	1330	106
926	1332	104
927	1333	103
928	1334	101
929	1335	100
930	1336	99
931	1337	97
932	1338	96
933	1339	94
934	1340	93
935	1341	91
936	1342	90
937	1343	88
938	1344	87
939	1346	85
940	1347	84
941	1348	83
942	1349	81
943	1351	80
944	1352	78
945	1353	77
946	1354	75
947	1355	74
948	1356	72
949	1357	71
950	1358	70
951	1359	68
952	1361	67
953	1362	65
954	1363	64
955	1365	62
956	1366	61
957	1367	59
958	1368	58
959	1369	57
960	1370	55
961	1371	54
962	1372	52
963	1373	51
964	1374	49
965	1376	48
966	1378	47
967	1379	45
968	1380	44
969	1381	42
970	1382	41
971	1384	39
972	1385	38
973	1386	37
974	1387	35
975	1388	34
976	1390	32
977	1391	31
978	1392	29
979	1394	28
980	1395	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1400	19
986	1401	18
987	1402	17
988	1403	15
989	1405	14
990	1406	12
991	1407	11
992	1408	9
993	1409	8
994	1411	7
995	1412	5
996	1412	4
997	1413	2
998	1414	1
999	1415	0
